Number,Species,SpMyco,Light,SoilSt,SoilCon,SoilSp,SoilMyco,SoilSpec,Adult,Bench,Time,Event,AMF,EMF,NSC,Lignin,Phenolics,AMF_Imp,EMF_Imp,NSC_Imp,LIG_Imp,PHN_Imp
177,Acsa,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,415,1,84,0,NA,NA,NA,NA,NA,70.33,NA,12.77355502,13.44603257,0.374928298
178,Prse,AMF,High,Nonsterile,Conspecific,Prse,AMF,Con,689,1,32,1,NA,NA,NA,NA,NA,75.435,NA,12.25298245,10.14757412,0.693658431
179,Qual,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,1,21,0,NA,NA,22.69,NA,NA,40.11,30.78423239,22.68883516,19.1156863,5.25845507
180,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,1,84,0,NA,NA,NA,NA,NA,72.654,NA,12.76822447,13.85978016,0.388908452
181,Acsa,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1323,1,84,0,0,NA,NA,NA,NA,0,NA,12.77609936,13.2174165,0.208741645
182,Prse,AMF,High,Nonsterile,Conspecific,Prse,AMF,Con,B,1,21,0,NA,NA,11.79,NA,NA,77.255,NA,11.79232085,9.2164243,0.684099741
183,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1454,1,84,0,71,NA,NA,NA,NA,71,NA,12.55861504,13.59685293,0.221001063
184,Acru,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,961,1,84,0,NA,NA,NA,NA,NA,35.74,NA,12.01505067,8.924510991,0.196900868
185,Qual,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1018,1,84,0,NA,NA,NA,NA,NA,39.317,39.51864784,22.30411209,18.74767919,4.957987076
186,Acru,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,1,21,0,37,NA,NA,7.4,0.03,37,NA,10.27350875,7.39932549,0.027187518
187,Acru,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,1,21,0,NA,NA,13.02,NA,NA,35.936,NA,13.0189487,10.14412133,0.546211584
188,Acru,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1326,1,21,0,0,NA,NA,9.9,0.13,0,NA,12.3565011,9.881036238,0.129
189,Acru,AMF,High,Nonsterile,Conspecific,Acru,AMF,Con,1332,1,84,0,44,NA,NA,NA,NA,44,NA,11.65496157,8.745678383,0.215419913
190,Prse,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,1,32,1,NA,NA,NA,NA,NA,69.08,NA,12.75388022,10.56651745,0.870233214
191,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,970,1,21,0,71,NA,NA,14,0.38,71,NA,12.77123769,13.97960091,0.379081667
192,Acru,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,50,1,84,0,NA,NA,NA,NA,NA,0.02,NA,12.69308418,10.37409044,0.27198378
193,Prse,AMF,High,Nonsterile,Conspecific,Prse,AMF,Con,A,1,21,0,NA,NA,NA,NA,NA,75.215,NA,12.24932626,10.12331832,0.687769861
194,Acsa,AMF,High,Nonsterile,Conspecific,Acsa,AMF,Con,961,1,21,0,80,NA,NA,13.6,0.62,80,NA,12.78221771,13.64817777,0.622467025
195,Acru,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1715,1,21,0,42,NA,NA,7.6,-0.05,42,NA,10.46751074,7.564093981,-0.052027152
196,Acsa,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,1,21,0,75,NA,NA,13.1,0.19,75,NA,12.53955155,13.14345704,0.190523244
197,Prse,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1205,1,21,0,73,NA,NA,7,0.74,73,NA,10.15779287,6.964424248,0.740904653
198,Acru,AMF,High,Nonsterile,Conspecific,Acru,AMF,Con,50,1,21,0,NA,NA,13.45,NA,NA,42.77923077,NA,13.44980827,10.86953465,0.835354547
2838,Prse,AMF,Low,Sterile,Sterile,Sterile,Sterile,ConSter,689,9,84,0,0,NA,NA,NA,NA,0,NA,8.412519511,5.814341495,0.256158783
200,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,285,1,21,0,62,NA,NA,13.1,-0.75,62,NA,11.96125245,13.11642464,-0.749182917
201,Acru,AMF,High,Nonsterile,Conspecific,Acru,AMF,Con,1384,1,21,0,NA,NA,12.33,NA,NA,42.59,NA,12.33021587,9.933830545,0.244185863
202,Acru,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1468,1,21,0,0,NA,NA,9.1,0.3,0,NA,11.92956825,9.095112709,0.296251941
203,Acru,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,970,1,84,0,NA,NA,NA,NA,NA,34.32,NA,12.08525502,9.525215412,0.136704664
204,Acru,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,415,1,84,0,NA,NA,NA,NA,NA,33.93,NA,12.12546646,9.364308994,0.157619364
205,Acru,AMF,High,Nonsterile,Conspecific,Acru,AMF,Con,1468,1,21,0,49,NA,NA,8,0.24,49,NA,10.80611658,7.955097842,0.239080377
206,Quru,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,285,1,84,0,45,NA,NA,NA,NA,45,39.4611487,13.54806702,23.00550355,3.00246565
207,Acsa,AMF,High,Nonsterile,Conspecific,Acsa,AMF,Con,1323,1,21,0,68,NA,NA,14,0.44,68,NA,12.79931008,14.04006308,0.438709207
208,Quru,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,1,21,0,NA,NA,12.05,NA,NA,44.71,28.22948791,12.04902089,24.01844888,2.803873548
209,Acru,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1454,1,84,0,48,NA,NA,NA,NA,48,NA,12.25305083,9.954271902,0.155112852
210,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,984,1,84,0,75,NA,NA,NA,NA,75,NA,12.77941773,13.84353229,0.403857697
211,Qual,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,961,1,21,0,36,23,NA,15.9,4.99,36,22.94463834,20.26898315,15.88370988,4.993279771
212,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,1,84,0,NA,NA,NA,NA,NA,40.61423077,39.83044101,21.81815346,18.71072688,5.123914446
213,Quru,EMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,415,1,84,0,NA,NA,NA,NA,NA,48.01766667,31.80319875,17.05457539,22.44013518,3.791409066
214,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,1,21,0,37,44,NA,20.3,5.94,37,43.79804657,20.64868714,20.27707991,5.943317758
215,Quru,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,984,1,21,0,0,5,NA,21.9,3.71,0,5.420148522,17.67500963,21.88048994,3.7050894
